player_br_id,game_br_id,quarter,minutes_played,team_br_id,field_goals,field_goal_attempts,field_goal_percentage,three_pointers,three_pointer_attempts,three_pointer_percentage,free_throws,free_throw_attempts,free_throw_percentage,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,plus_minus
lillada01,202008150POR,1,12:00,MEM,,,,,,,,,,,,,,,,,,,
mccolcj01,202008150POR,1,8:10,MEM,,,,,,,,,,,,,,,,,,,
nurkiju01,202008150POR,1,12:00,MEM,,,,,,,,,,,,,,,,,,,
anthoca01,202008150POR,1,8:10,MEM,,,,,,,,,,,,,,,,,,,
colliza01,202008150POR,1,7:28,MEM,,,,,,,,,,,,,,,,,,,
trentga02,202008150POR,1,4:32,MEM,,,,,,,,,,,,,,,,,,,
whiteha01,202008150POR,1,3:50,MEM,,,,,,,,,,,,,,,,,,,
gabriwe01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
hezonma01,202008150POR,1,3:50,MEM,,,,,,,,,,,,,,,,,,,
adamsja01!!!!,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
hoardja01!!!!,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
simonan01!!!!,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
moranja01,202008150POR,1,12:00,MEM,,,,,,,,,,,,,,,,,,,
brookdi01,202008150POR,1,9:00,MEM,,,,,,,,,,,,,,,,,,,
valanjo01,202008150POR,1,7:28,MEM,,,,,,,,,,,,,,,,,,,
anderky01,202008150POR,1,7:28,MEM,,,,,,,,,,,,,,,,,,,
tollian01,202008150POR,1,4:28,MEM,,,,,,,,,,,,,,,,,,,
clarkbr01,202008150POR,1,7:32,MEM,,,,,,,,,,,,,,,,,,,
allengr01,202008150POR,1,4:32,MEM,,,,,,,,,,,,,,,,,,,
meltode01,202008150POR,1,3:00,MEM,,,,,,,,,,,,,,,,,,,
dienggo01,202008150POR,1,4:32,MEM,,,,,,,,,,,,,,,,,,,
gudurma01!!!!,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
jacksjo02!!!!,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
konchjo01!!!!,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
watanyu01!!!!,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
lillada01,202008150POR,2,8:56,MEM,,,,,,,,,,,,,,,,,,,
mccolcj01,202008150POR,2,12:00,MEM,,,,,,,,,,,,,,,,,,,
nurkiju01,202008150POR,2,9:17,MEM,,,,,,,,,,,,,,,,,,,
anthoca01,202008150POR,2,8:37,MEM,,,,,,,,,,,,,,,,,,,
colliza01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
trentga02,202008150POR,2,12:00,MEM,,,,,,,,,,,,,,,,,,,
whiteha01,202008150POR,2,2:43,MEM,,,,,,,,,,,,,,,,,,,
gabriwe01,202008150POR,2,3:23,MEM,,,,,,,,,,,,,,,,,,,
hezonma01,202008150POR,2,3:04,MEM,,,,,,,,,,,,,,,,,,,
adamsja01!!!!,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
hoardja01!!!!,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
simonan01!!!!,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
moranja01,202008150POR,2,5:52,MEM,,,,,,,,,,,,,,,,,,,
brookdi01,202008150POR,2,9:57,MEM,,,,,,,,,,,,,,,,,,,
valanjo01,202008150POR,2,8:52,MEM,,,,,,,,,,,,,,,,,,,
anderky01,202008150POR,2,7:26,MEM,,,,,,,,,,,,,,,,,,,
tollian01,202008150POR,2,8:52,MEM,,,,,,,,,,,,,,,,,,,
clarkbr01,202008150POR,2,3:08,MEM,,,,,,,,,,,,,,,,,,,
allengr01,202008150POR,2,6:37,MEM,,,,,,,,,,,,,,,,,,,
meltode01,202008150POR,2,6:08,MEM,,,,,,,,,,,,,,,,,,,
dienggo01,202008150POR,2,3:08,MEM,,,,,,,,,,,,,,,,,,,
gudurma01!!!!,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
jacksjo02!!!!,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
konchjo01!!!!,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
watanyu01!!!!,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
lillada01,202008150POR,3,12:00,MEM,,,,,,,,,,,,,,,,,,,
mccolcj01,202008150POR,3,12:00,MEM,,,,,,,,,,,,,,,,,,,
