location,name,Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta,Hawks,Atlanta Hawks,NBA,1949-50,2022-23,74,5839,2883,2956,0.494,48,12,0,1
Atlanta,Hawks,Atlanta Hawks,NBA,1968-69,2022-23,55,4421,2185,2236,0.494,35,6,0,0
St. Louis,Hawks,St. Louis Hawks,NBA,1955-56,1967-68,13,1005,553,452,0.55,12,6,0,1
Milwaukee,Hawks,Milwaukee Hawks,NBA,1951-52,1954-55,4,281,91,190,0.324,0,0,0,0
Tri-Cities,Blackhawks,Tri-Cities Blackhawks,NBA,1949-50,1950-51,2,132,54,78,0.409,1,0,0,0
Boston,Celtics,Boston Celtics,NBA/BAA,1946-47,2022-23,77,6017,3559,2458,0.591,59,32,10,17
Brooklyn,Nets,Brooklyn Nets,NBA/ABA,1967-68,2022-23,56,4513,1988,2525,0.441,30,5,2,2
Brooklyn,Nets,Brooklyn Nets,NBA,2012-13,2022-23,11,865,406,459,0.469,7,0,0,0
New Jersey,Nets,New Jersey Nets,NBA,1977-78,2011-12,35,2822,1186,1636,0.42,16,4,2,0
New York,Nets,New York Nets,NBA,1976-77,1976-77,1,82,22,60,0.268,0,0,0,0
New York,Nets,New York Nets,ABA,1968-69,1975-76,8,666,338,328,0.508,7,1,0,2
New Jersey,Americans,New Jersey Americans,ABA,1967-68,1967-68,1,78,36,42,0.462,0,0,0,0
Charlotte,Hornets,Charlotte Hornets,NBA,1988-89,2022-23,33,2616,1147,1469,0.438,10,0,0,0
Charlotte,Hornets,Charlotte Hornets,NBA,2014-15,2022-23,9,696,312,384,0.448,1,0,0,0
Charlotte,Bobcats,Charlotte Bobcats,NBA,2004-05,2013-14,10,804,293,511,0.364,2,0,0,0
Charlotte,Hornets,Charlotte Hornets,NBA,1988-89,2001-02,14,1116,542,574,0.486,7,0,0,0
Chicago,Bulls,Chicago Bulls,NBA,1966-67,2022-23,57,4582,2334,2248,0.509,36,9,6,6
Cleveland,Cavaliers,Cleveland Cavaliers,NBA,1970-71,2022-23,53,4257,1975,2282,0.464,22,7,5,1
Dallas,Mavericks,Dallas Mavericks,NBA,1980-81,2022-23,43,3446,1743,1703,0.506,24,4,2,1
Denver,Nuggets,Denver Nuggets,NBA/ABA,1967-68,2022-23,56,4515,2303,2212,0.51,37,12,0,0
Denver,Nuggets,Denver Nuggets,NBA,1976-77,2022-23,47,3771,1890,1881,0.501,28,9,0,0
Denver,Nuggets,Denver Nuggets,ABA,1974-75,1975-76,2,168,125,43,0.744,2,2,0,0
Denver,Rockets,Denver Rockets,ABA,1967-68,1973-74,7,576,288,288,0.5,7,1,0,0
Detroit,Pistons,Detroit Pistons,NBA/BAA,1948-49,2022-23,75,5900,2811,3089,0.476,42,11,5,3
Detroit,Pistons,Detroit Pistons,NBA,1957-58,2022-23,66,5281,2498,2783,0.473,34,9,5,3
Fort Wayne,Pistons,Fort Wayne Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,0.506,8,2,0,0
Golden State,Warriors,Golden State Warriors,NBA/BAA,1946-47,2022-23,77,6005,2913,3092,0.485,36,12,7,7
